Left,Center,Right,Product,Group (2x2)
'1000,'0110,'1000,'0000,Nilpotent
'0010,'0110,'1000,'0000,Regular Zero Divisor
'1000,'0110,'0100,'0000,Regular Zero Divisor
'0100,'0110,'0100,'0100,Idempotent
'0010,'0110,'0100,'0000,Regular Zero Divisor
'0100,'0110,'0010,'0000,Regular Zero Divisor
'0010,'0110,'0010,'0010,Idempotent
'0001,'0110,'0010,'0000,Regular Zero Divisor
'0100,'0110,'0001,'0000,Regular Zero Divisor
'0001,'0110,'0001,'0000,Nilpotent
'1000,'1110,'1000,'1000,Idempotent
'0100,'1110,'0100,'0100,Idempotent
'0100,'1110,'0010,'0000,Regular Zero Divisor
'0010,'1110,'0010,'0010,Idempotent
'0001,'1110,'0010,'0000,Regular Zero Divisor
'0100,'1110,'0001,'0000,Regular Zero Divisor
'0001,'1110,'0001,'0000,Nilpotent
'1000,'1001,'1000,'1000,Idempotent
'0100,'1001,'1000,'0000,Regular Zero Divisor
'0001,'1001,'1000,'0000,Regular Zero Divisor
'0100,'1001,'0100,'0000,Nilpotent
'0001,'1001,'0100,'0000,Regular Zero Divisor
'1000,'1001,'0010,'0000,Regular Zero Divisor
'0010,'1001,'0010,'0000,Nilpotent
'1000,'1001,'0001,'0000,Regular Zero Divisor
'0010,'1001,'0001,'0000,Regular Zero Divisor
'0001,'1001,'0001,'0001,Idempotent
'1000,'1101,'1000,'1000,Idempotent
'0100,'1101,'1000,'0000,Regular Zero Divisor
'0001,'1101,'1000,'0000,Regular Zero Divisor
'0100,'1101,'0100,'0000,Nilpotent
'0001,'1101,'0100,'0000,Regular Zero Divisor
'0010,'1101,'0010,'0010,Idempotent
'0001,'1101,'0001,'0001,Idempotent
'1000,'1011,'1000,'1000,Idempotent
'0100,'1011,'0100,'0100,Idempotent
'1000,'1011,'0010,'0000,Regular Zero Divisor
'0010,'1011,'0010,'0000,Nilpotent
'1000,'1011,'0001,'0000,Regular Zero Divisor
'0010,'1011,'0001,'0000,Regular Zero Divisor
'0001,'1011,'0001,'0001,Idempotent
'1000,'0111,'1000,'0000,Nilpotent
'0010,'0111,'1000,'0000,Regular Zero Divisor
'1000,'0111,'0100,'0000,Regular Zero Divisor
'0100,'0111,'0100,'0100,Idempotent
'0010,'0111,'0100,'0000,Regular Zero Divisor
'0010,'0111,'0010,'0010,Idempotent
'0001,'0111,'0001,'0001,Idempotent
'1000,'1111,'1000,'1000,Idempotent
'0100,'1111,'0100,'0100,Idempotent
'0010,'1111,'0010,'0010,Idempotent
'0001,'1111,'0001,'0001,Idempotent
